Id,Name,Tax category,Created at,Updated at,Organization,Uuid
2174,La Nueva Era,5,2025-02-25 15:18:52 UTC,2025-02-25 15:18:52 UTC,1,chin_8f05c733-cbd6-4c86-a1cb-db494fe6a3eb
2173,Pizzería Florencia,3,2025-02-25 15:18:26 UTC,2025-02-25 15:18:26 UTC,1,chin_395cbb01-0c4e-49b7-a4d3-bd66bca544b1
2172,Sunlights Pastry,3,2025-02-25 15:18:04 UTC,2025-02-25 15:18:04 UTC,1,chin_a7f20226-d115-4f5e-a42c-7db745b38e65
2171,Tataki / Par de Pintas,7,2025-02-24 23:20:32 UTC,2025-02-24 23:20:32 UTC,2,chin_2f74b9d6-9fd6-430d-b576-ead7fbc7a566
2170,Panamá Paintball Club,7,2025-02-24 17:47:09 UTC,2025-02-24 17:47:09 UTC,2,chin_e4e6e947-adf4-4453-823d-a482ba3911e9
2169,Mofongo y Algo Más,3,2025-02-21 22:13:35 UTC,2025-02-21 22:13:35 UTC,1,chin_be89faf3-ee13-4f14-b077-2510a69a152e
2168,Puerto Fino,3,2025-02-21 22:13:12 UTC,2025-02-21 22:13:12 UTC,1,chin_23df363e-7086-4ea4-8a40-48bb0c5a0d48
2167,Donde El Flako,7,2025-02-20 18:50:08 UTC,2025-02-20 18:50:08 UTC,2,chin_800f7c59-43d5-452e-93a9-aac66fd00e3f
2166,Sweet Açai by Wilma,3,2025-02-19 14:27:59 UTC,2025-02-19 14:27:59 UTC,1,chin_2de401f7-a986-4d57-97af-6cf4d1a7b6d0
2165,La Esquina de Papi's,3,2025-02-14 10:11:51 UTC,2025-02-14 10:11:51 UTC,1,chin_22d17ca9-eab2-4b95-827d-bf926ea17cd6
2164,Glam by J,5,2025-02-14 10:11:15 UTC,2025-02-14 10:11:15 UTC,1,chin_68ab028e-b678-4e01-998a-ad55b57694de
2163,Designs Factory,5,2025-02-14 10:10:55 UTC,2025-02-14 10:10:55 UTC,1,chin_c2a1b129-58f5-4f84-b70d-2bee82648134
2162,Carringtons Detailing,7,2025-02-13 16:46:48 UTC,2025-02-13 16:46:48 UTC,2,chin_a82cfc90-3a61-4779-ac71-d86a2166a619
2161,ZIBÁ Boutique,5,2025-02-13 13:32:26 UTC,2025-02-13 13:32:26 UTC,1,chin_6ea6bb68-356a-494b-9dc3-ce97313244a9
2160,Mercado 949,3,2025-02-13 13:32:08 UTC,2025-02-13 13:32:08 UTC,1,chin_289b29b6-63da-466e-8549-2dda668ae6ff
2159,Kabod Bakery,3,2025-02-12 17:00:56 UTC,2025-02-12 17:00:56 UTC,1,chin_a1855f3f-a9e4-4a86-9787-5eebae9e4695
2158,La Cabaña Bar & Grill,3,2025-02-12 17:00:39 UTC,2025-02-12 17:00:39 UTC,1,chin_ab39fffd-b85f-4223-a054-ed212d22b6c1
2157,Café Olivo,3,2025-02-12 17:00:22 UTC,2025-02-12 17:00:22 UTC,1,chin_dbfba473-8ba6-4d8f-b921-dc05bb57a740
2156,Choco Latte Bakery,3,2025-02-12 17:00:03 UTC,2025-02-12 17:00:03 UTC,1,chin_e7246014-e568-4ce3-b14b-db29f114e2b4
2155,Maison Kayser,7,2025-02-11 03:40:19 UTC,2025-02-11 03:40:19 UTC,2,chin_98e31c6b-0711-41e0-85bc-01ed97eee145
2154,Merkapp,7,2025-02-10 22:16:33 UTC,2025-02-10 22:16:33 UTC,2,chin_225570cd-0307-4a07-a250-e3cbec184ca3
2153,La Scarpetta,7,2025-02-10 22:10:51 UTC,2025-02-10 22:10:51 UTC,2,chin_b0e43603-3b27-4273-9dae-733f29ea33f6
2152,Moocha,7,2025-02-10 22:01:38 UTC,2025-02-10 22:01:38 UTC,2,chin_9ec43803-4129-445e-becc-6d3a8071a0b1
2151,Fragolati,7,2025-02-10 21:56:02 UTC,2025-02-10 21:56:02 UTC,2,chin_071cf528-fc83-4ecf-9c66-932a0da80062
2150,Yakitori,7,2025-02-10 21:49:55 UTC,2025-02-10 21:49:55 UTC,2,chin_2568f3fa-212e-4edd-8d5b-efa26b3c8ac0
2149,Restaurantes Mika,7,2025-02-10 21:22:17 UTC,2025-02-10 21:22:17 UTC,2,chin_419fec11-b32a-4138-9c9a-5fccd9a601a8
2148,Taller D CARS,7,2025-02-10 21:14:59 UTC,2025-02-10 21:14:59 UTC,2,chin_5cb8683a-232f-431f-a0c1-13b2cbf43011
2147,Dough,3,2025-02-06 23:58:43 UTC,2025-02-06 23:58:43 UTC,1,chin_a370017a-fe0d-4652-b383-bfbf7ce76dd6
2146,Marcelo Restaurant,3,2025-02-06 23:58:08 UTC,2025-02-06 23:58:08 UTC,1,chin_9127b979-90e2-4586-901e-19b51953eb3c
2145,Kuerito Station,3,2025-02-06 23:57:48 UTC,2025-02-06 23:57:48 UTC,1,chin_aaed49f4-744a-4c8b-8e85-c98d48ed1491
2144,Mirto Spa,5,2025-02-06 23:57:20 UTC,2025-02-06 23:57:20 UTC,1,chin_34606237-b580-4790-8330-8798016dbdf8
2143,Factoría Verde,3,2025-02-06 23:57:02 UTC,2025-02-06 23:57:02 UTC,1,chin_f0c0d2af-7a06-4373-b60d-c03e7ab61566
2142,Auto Servicio Caparra,5,2025-02-06 23:56:33 UTC,2025-02-06 23:56:33 UTC,1,chin_5581d097-e839-49b3-a380-7e3314625626
2141,El Mex,3,2025-02-04 12:42:51 UTC,2025-02-04 12:42:51 UTC,1,chin_70a50db5-805e-4c87-9e58-4352c73e6a93
2140,La 802 Burger Co & Bar,3,2025-01-31 19:36:20 UTC,2025-01-31 19:36:20 UTC,1,chin_fcfd73a5-a2ff-4da1-9755-bce39f599589
2139,Makeup by Sú,5,2025-01-31 19:36:01 UTC,2025-01-31 19:36:01 UTC,1,chin_b48b2fb4-3b67-4fbe-aa58-5e6e4dfdf030
2138,Café Lareño Coffee Shop,3,2025-01-31 19:35:38 UTC,2025-01-31 19:35:38 UTC,1,chin_719a4eec-471f-4f21-9224-731c81443752
2137,Kokeshi Sushi Bar,7,2025-01-31 17:07:11 UTC,2025-01-31 17:07:11 UTC,2,chin_bcee86a3-0ecd-4e94-8453-7ca4f40a7e69
2136,Pedispa by Dei,5,2025-01-30 16:58:08 UTC,2025-01-30 16:58:08 UTC,1,chin_09c3c60e-f740-4689-89fd-7ccb8b57bf1c
